URL_ID,Word Count,Complex Word Count,% Complex Words,Average Sentence Length,Fog Index,Syllable Per Word,Personal Pronouns,Average Word Length
Netclan20241017,247,118,0.47773279158812637,246.999753000247,98.99099431673406,2.5303643622252454,0,7.700404827123867
Netclan20241018,511,192,0.3757338544506187,510.99948900051106,204.5500891419847,2.3268101715718,0,7.1369862874031575
Netclan20241019,286,117,0.4090909076605213,285.999714000286,114.56352196317863,2.4440559355102938,0,7.395104869247885
Netclan20241020,496,262,0.5282258053866415,495.999504000496,198.61109192235307,2.6149193495666947,0,7.905241919545883
Netclan20241021,253,114,0.4505928835944945,252.99974700025302,101.38013595353901,2.5454545353934606,0,7.470355701698199
Netclan20241022,247,118,0.47773279158812637,246.999753000247,98.99099431673406,2.5303643622252454,0,7.700404827123867
Netclan20241023,511,192,0.3757338544506187,510.99948900051106,204.5500891419847,2.3268101715718,0,7.1369862874031575
Netclan20241024,286,117,0.4090909076605213,285.999714000286,114.56352196317863,2.4440559355102938,0,7.395104869247885
Netclan20241025,496,262,0.5282258053866415,495.999504000496,198.61109192235307,2.6149193495666947,0,7.905241919545883
Netclan20241026,1141,555,0.4864154246394255,1140.998859001141,456.59410977031223,2.531113056502092,0,7.554776505210537
Netclan20241027,339,171,0.5044247772730832,338.999661000339,135.80163431104484,2.5958701988322415,0,7.761061924008667
Netclan20241028,476,222,0.46638655364204507,475.999524000476,190.58636422164724,2.499999994747899,0,7.665966370449651
Netclan20241029,396,171,0.43181818072773187,395.999604000396,158.57256887244952,2.4823232260547394,0,7.714646445165034
Netclan20241030,381,185,0.48556430318749527,380.999619000381,152.59407332142743,2.59842519003038,0,7.895013102637761
Netclan20241031,959,462,0.48175182431517016,958.9990410009591,383.7923171301097,2.517205419690088,0,7.6558915457185694
Netclan20241032,329,145,0.4407294819430715,328.99967100032904,131.77616019290886,2.4620060715440544,0,7.392097241969309
Netclan20241033,638,326,0.5109717860329596,637.999362000638,255.40413351466842,2.6489028171647293,0,7.9357366646775285
Netclan20241034,273,118,0.4322344306511559,272.999727000273,109.37278457236967,2.4761904671201815,0,7.476190448805164
Netclan20241035,404,175,0.4331683157594844,403.99959600040404,161.77310572646542,2.4727722711069995,0,7.430693050914126
Netclan20241036,366,168,0.4590163921884798,365.99963400036603,146.5834601570218,2.4890710314506257,0,7.382513641031384
